gerne,title,author,price,star,review,star_line
공포/스릴러,봉제인형 살인사건,다니엘 콜 저/유혜인 역                                                                          ,13500.0,8.4,84,0.0
공포/스릴러,고백,미나토 가나에 저/김선영 역                                                                          ,11520.0,9.2,250,1.0
공포/스릴러,꼭두각시 살인사건,다니엘 콜 저/유혜인 역                                                                          ,13950.0,9.3,17,1.0
공포/스릴러,네 번의 노크,케이시 저                                                                          ,12420.0,9.3,58,1.0
공포/스릴러,살육에 이르는 병,아비코 다케마루 저/권일영 역                                                                          ,10800.0,8.7,21,0.0
공포/스릴러,아홉수 가위,범유진 저                                                                          ,9000.0,10.0,3,1.0
공포/스릴러,빌리 서머스 세트,스티븐 킹 저/이은선 역                                                                          ,22950.0,10.0,2,1.0
공포/스릴러,엔드게임 살인사건,다니엘 콜 저/유혜인 역                                                                          ,13950.0,9.0,4,1.0
공포/스릴러,베러티,콜린 후버 저/민지현 역                                                                          ,14400.0,9.8,65,1.0
공포/스릴러,죽여 마땅한 사람들,피터 스완슨 저/노진선 역                                                                          ,13320.0,8.6,212,0.0
공포/스릴러,해바라기가 피지 않는 여름,미치오 슈스케 저/김윤수 역                                                                          ,10800.0,8.5,36,0.0
공포/스릴러,마인드헌터,"존 더글러스,마크 올셰이커 저/이종인 역                                                                          ",13500.0,8.7,20,0.0
공포/스릴러,용서받지 못한 밤,미치오 슈스케 저/김은모 역                                                                          ,14220.0,9.2,77,1.0
공포/스릴러,카미노 아일랜드,존 그리샴 저/남명성 역                                                                          ,15120.0,9.5,32,1.0
공포/스릴러,도로시 죽이기,고바야시 야스미 저/김은모 역                                                                          ,12150.0,9.4,18,1.0
공포/스릴러,그 환자,재스퍼 드윗 저/서은원 역                                                                          ,12600.0,8.9,120,0.0
공포/스릴러,양들의 침묵,토머스 해리스 저/공보경 역                                                                          ,13500.0,9.9,23,1.0
공포/스릴러,게르니카의 황소,한이리 저                                                                          ,13500.0,9.8,32,1.0
공포/스릴러,위저드 베이커리,구병모 저                                                                          ,11520.0,8.7,3,0.0
공포/스릴러,메이즈 러너,제임스 대시너 저/공보경 역                                                                          ,13320.0,8.5,15,0.0
공포/스릴러,아무에게도 말하지 마,할런 코벤 저/최필원 역                                                                          ,14220.0,9.7,198,1.0
공포/스릴러,헝거게임,수잔 콜린스 저/이원열 역                                                                          ,11700.0,9.2,95,1.0
공포/스릴러,헝거 게임 세트,수잔 콜린스 저/이원열 역                                                                          ,35100.0,9.1,21,1.0
공포/스릴러,백설공주에게 죽음을,넬레 노이하우스 저/김진아 역                                                                          ,12420.0,8.6,270,0.0
공포/스릴러,유괴의 날,정해연 저                                                                          ,12870.0,9.5,21,1.0
공포/스릴러,어둠의 눈,딘 쿤츠 저/심연희 역                                                                          ,14400.0,9.4,222,1.0
공포/스릴러,세이프,S. K. 바넷 저/김효정 역                                                                          ,14220.0,9.5,40,1.0
공포/스릴러,지킬박사와 하이드씨,로버트 루이스 스티븐슨 저/강미경 역                                                                          ,11250.0,9.4,6,1.0
공포/스릴러,스테이트 오브 테러,"힐러리 로댐 클린턴,루이즈 페니 저/김승욱 역                                                                          ",16020.0,9.8,27,1.0
공포/스릴러,낯선 자의 일기,엘리 그리피스 저/박현주 역                                                                          ,15300.0,9.0,21,1.0
공포/스릴러,러브크래프트 전집 세트 ,H.P. 러브크래프트 저/정진영 역                                                                          ,73350.0,8.0,6,0.0
공포/스릴러,얼굴 없는 살인자,스테판 안헴 저/김소정 역                                                                          ,15120.0,9.8,35,1.0
공포/스릴러,귀신나방,장용민 저                                                                          ,13050.0,9.4,46,1.0
공포/스릴러,데볼루션,맥스 브룩스 저/조은아 역                                                                          ,15120.0,9.4,24,1.0
공포/스릴러,캣칭 파이어,수잔 콜린스 저/이원열 역                                                                          ,11700.0,8.7,65,0.0
공포/스릴러,위스퍼맨,알렉스 노스 저/김지선 역                                                                          ,14220.0,9.8,33,1.0
공포/스릴러,육식저택,고바야시 야스미 저/주자덕 역                                                                          ,13500.0,9.9,12,1.0
공포/스릴러,모킹제이,수잔 콜린스 저/이원열 역                                                                          ,11700.0,8.0,40,0.0
공포/스릴러,빌리 밀리건,대니얼 키스 저/박현주 역                                                                          ,13320.0,8.7,34,0.0
공포/스릴러,러브크래프트 전집 1,H.P. 러브크래프트 저/정진영 역                                                                          ,12600.0,8.7,22,0.0
